experiment,is_untuned_control,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,fold_count,rmsle_mean,rmsle_std,mae_mean,wape_mean,fold_1_rmsle,fold_2_rmsle,fold_3_rmsle,fold_4_rmsle,rmsle_improvement_vs_untuned,eligible_for_selection,is_chosen
T0_untuned,True,0.05,31,-1,100,0.9,0.9,0.0,1.0,4,0.4129167766126222,0.028384917341364117,72.76200536903131,0.15401201664517722,0.3996362942039123,0.3968265135037745,0.3997586360210743,0.4554456627217279,0.0,False,False
T1_compact_regularized,False,0.05,24,8,150,0.9,0.9,0.1,2.0,4,0.41401856977873636,0.028881291628086624,72.94474507619151,0.15440534733165717,0.400416436069996,0.39737202937262206,0.401011336256621,0.45727447741570626,-0.00110179316611414,False,False
T2_moderate_capacity,False,0.05,47,10,100,0.9,0.9,0.1,2.0,4,0.4109002492661562,0.02907149106161304,71.49754811905736,0.1513556621816428,0.39728310278024137,0.3940948650676705,0.39778447827787267,0.4544385509388405,0.0020165273464660127,True,True
T3_robust_subsample,False,0.05,31,8,200,0.8,0.8,0.5,3.0,4,0.4123769093417868,0.029155506746682665,72.45164866033761,0.1533391668688398,0.3986605333235236,0.39598106960149415,0.3987991612097019,0.45606687323242756,0.0005398672708354368,False,False
