readiness_class,observation_count,series_count,fold_count,actual_sales,predicted_sales,mae,rmsle,wape
Insufficient history,9216,144,4,1431194.011873,1387199.998469491,17.954295359337564,0.21770467661190465,0.11561450415454788
Promotion dependent,26240,410,4,40238772.5130736,40077302.658099115,233.0146734274422,0.23383748462529155,0.15195058519117455
Ready,23296,364,4,4443398.3517103,4366056.432567527,29.935370520524206,0.32259915146119456,0.15694617867824226
Ready with caution,22080,345,4,6837745.129229,7055932.094269801,41.330598707489564,0.4718865996904672,0.13346207005587366
High volatility,6528,102,4,424697.376158,372240.5895959797,19.279370516704407,0.5445928715486629,0.2963421433671027
Intermittent demand,26688,417,4,514692.46483,464193.9595688482,5.192253474494169,0.5536028567133424,0.2692304049430169
