experiment,is_untuned_control,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,fold_count,rmsle_mean,rmsle_std,mae_mean,wape_mean,parameter_change_count,fold_1_rmsle,fold_2_rmsle,fold_3_rmsle,fold_4_rmsle,rmsle_improvement_vs_untuned,eligible_for_selection,is_chosen
T0_untuned,True,0.05,31,-1,100,0.9,0.9,0.0,1.0,4,0.4061122034123847,0.01890666599650663,66.52825026785655,0.1409506446984174,0,0.3968746212882832,0.3899873085986574,0.4045559336223701,0.4330309501402281,0.0,False,False
T1_compact_regularized,False,0.05,24,8,150,0.9,0.9,0.1,2.0,4,0.4106085955136072,0.022683072074406577,68.10905444934774,0.14430423202301118,5,0.4016150563229955,0.3914173113359608,0.40603038848158257,0.4433716259138898,-0.0044963921012224906,False,False
T2_moderate_capacity,False,0.05,47,10,100,0.9,0.9,0.1,2.0,4,0.4016746898739504,0.018557430450949756,63.96892067705284,0.13552890404875576,4,0.3925659314727877,0.38577680248201707,0.40030796942562225,0.4280480561153745,0.004437513538434301,True,True
T3_robust_subsample,False,0.05,31,8,200,0.8,0.8,0.5,3.0,4,0.40594746248193603,0.019430181264774225,66.5363474669442,0.14097819983058504,6,0.39513521711542443,0.3902773755972662,0.4047061806380669,0.43367107657698645,0.00016474093044865912,False,False
